H2                   200  6000  1000
 2.93286579E+00  8.26607967E-04 -1.46402335E-07  1.54100359E-11 -6.88804432E-16 -8.13065597E+02 -1.02432887E+00
 2.34433112E+00  7.98052075E-03 -1.94781510E-05  2.01572094E-08 -7.37611761E-12 -9.17935173E+02  6.83010238E-01
O-3P                 300  5000  1000
 2.54205900E+00 -2.75506100E-05 -3.10280300E-09  4.55106700E-12 -4.36805100E-16  2.92308000E+04  4.92030800E+00
 2.94642800E+00 -1.63816650E-03  2.42103100E-06 -1.60284310E-09  3.89069600E-13  2.91476400E+04  2.96399500E+00
O-1D                 200  6000  1000
 2.49368475E+00  1.37617903E-05 -1.00401058E-08  2.76012182E-12 -2.01597513E-16  5.19986304E+04  4.65050950E+00
 2.49993786E+00  1.71935346E-07 -3.45215267E-10  3.71342028E-13 -1.70964494E-16  5.19965317E+04  4.61684555E+00
CO                   300  5000  1000
 3.02507800E+00  1.44268850E-03 -5.63082700E-07  1.01858130E-10 -6.91095100E-15 -1.42683500E+04  6.10821700E+00
 3.26245100E+00  1.51194090E-03 -3.88175500E-06  5.58194400E-09 -2.47495100E-12 -1.43105390E+04  4.84889700E+00
C                    300  5000  1000
 2.60208700E+00 -1.78708100E-04  9.08704100E-08 -1.14993300E-11  3.31084400E-16  8.54215400E+04  4.19517700E+00
 2.49858500E+00  8.08577700E-05 -2.69769700E-07  3.04072900E-10 -1.10665200E-13  8.54587800E+04  4.75345900E+00
CH                   300  5000  1000
 2.19622300E+00  2.34038100E-03 -7.05820100E-07  9.00758200E-11 -3.85504000E-15  7.08672300E+04  9.17837300E+00
 3.20020200E+00  2.07287500E-03 -5.13443100E-06  5.73389000E-09 -1.95553300E-12  7.04525900E+04  3.33158700E+00
3CH2                 300  5000  1000
 3.63640800E+00  1.93305700E-03 -1.68701600E-07 -1.00989900E-10  1.80825600E-14  4.53413400E+04  2.15656100E+00
 3.76223700E+00  1.15981900E-03  2.48958500E-07  8.80083600E-10 -7.33243500E-13  4.53679100E+04  1.71257800E+00
1CH2                 300  5000  1000
 3.55288900E+00  2.06678800E-03 -1.91411600E-07 -1.10467300E-10  2.02135000E-14  4.98497500E+04  1.68657000E+00
 3.97126500E+00 -1.69908900E-04  1.02536900E-06  2.49255100E-09 -1.98126600E-12  4.98936800E+04  5.75320700E-02
H2O                  300  5000  1000
 2.67214500E+00  3.05629300E-03 -8.73026000E-07  1.20099640E-10 -6.39161800E-15 -2.98992100E+04  6.86281700E+00
 3.38684200E+00  3.47498200E-03 -6.35469600E-06  6.96858100E-09 -2.50658800E-12 -3.02081100E+04  2.59023200E+00
O2                   300  5000  1000
 3.69757800E+00  6.13519700E-04 -1.25884200E-07  1.77528100E-11 -1.13643540E-15 -1.23393010E+03  3.18916500E+00
 3.21293600E+00  1.12748640E-03 -5.75615000E-07  1.31387730E-09 -8.76855400E-13 -1.00524900E+03  6.03473700E+00
H2O2                 300  5000  1000
 4.57316700E+00  4.33613600E-03 -1.47468880E-06  2.34890300E-10 -1.43165360E-14 -1.80069600E+04  5.01136900E-01
 3.38875300E+00  6.56922600E-03 -1.48501250E-07 -4.62580500E-09  2.47151400E-12 -1.76631400E+04  6.78536300E+00
CH4                  300  5000  1000
 1.68347800E+00  1.02372360E-02 -3.87512800E-06  6.78558500E-10 -4.50342300E-14 -1.00807870E+04  9.62339500E+00
 7.78741500E-01  1.74766800E-02 -2.78340900E-05  3.04970800E-08 -1.22393070E-11 -9.82522900E+03  1.37221950E+01
H2CO                 300  5000  1000
 2.91430000E+00  6.64407000E-03 -2.45282000E-06  4.12836000E-10 -2.63040000E-14 -1.52827000E+04  7.43680000E+00
 2.41049000E+00  7.02041000E-03 -4.22947000E-06  4.40116000E-09 -2.12647000E-12 -1.49519000E+04  1.06246000E+01
CH3OH                300  5000  1000
 4.02906100E+00  9.37659300E-03 -3.05025400E-06  4.35879300E-10 -2.22472300E-14 -2.61579100E+04  2.37819500E+00
