  1  NCO          42.018  1  0  1  1
  2  CH3O         31.035  1  3  1  0
  3  HOCN         43.026  1  1  1  1
  4  CH2OH        31.035  1  3  1  0
  5  NNH          29.022  0  1  0  2
  6  H2CN         28.034  1  2  0  1
  7  CH3OH        32.043  1  4  1  0
  8  CN           26.018  1  0  0  1
  9  1CH2         14.027  1  2  0  0
 10  HNCO         43.026  1  1  1  1
 11  O-3P         16.000  0  0  1  0
 12  NH           15.015  0  1  0  1
 13  3CH2         14.027  1  2  0  0
 14  HCO          29.019  1  1  1  0
 15  H2CO         30.027  1  2  1  0
 16  NH2          16.023  0  2  0  1
 17  CO2          44.011  1  0  2  0
 18  OH           17.008  0  1  1  0
 19  CH3          15.035  1  3  0  0
 20  HCN          27.026  1  1  0  1
 21  NH3          17.031  0  3  0  1
 22  CH4          16.043  1  4  0  0
 23  N2           28.014  0  0  0  2
 24  CO           28.011  1  0  1  0
 25  H2O          18.016  0  2  1  0
 26  H             1.008  0  1  0  0
 27  He            4.003  0  0  0  0
 28  H2            2.016  0  2  0  0
 29  N2H2         30.030  0  2  0  2
 30  N2H3         31.038  0  3  0  2
