# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = lw
# n_profile      = 1
# n_layer        = 60
# n_band         = 17
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
       1       1    40.000000 10000.000000   1.413547E-009   2.523546E+001   2.045728E-004   2.523546E+001  -2.523546E+001  -2.523525E+001  -2.045714E-004
       1       2    29.411765    40.000000  -1.002416E-009   2.765283E+001   1.898484E-004   2.765283E+001  -2.765283E+001  -2.765264E+001  -1.898494E-004
       1       3    25.000000    29.411765   1.159073E-010   2.318048E+001   1.686970E-004   2.318048E+001  -2.318048E+001  -2.318031E+001  -1.686968E-004
       1       4    20.833333    25.000000   4.658318E-010   3.507765E+001   4.891205E-003   3.507765E+001  -3.507765E+001  -3.507276E+001  -4.891205E-003
       1       5    19.230769    20.833333  -4.991954E-010   1.869638E+001   6.849808E-002   1.869638E+001  -1.869638E+001  -1.862788E+001  -6.849808E-002
       1       6    17.543860    19.230769   7.414513E-011   2.391694E+001   1.978816E+000   2.391694E+001  -2.391694E+001  -2.193813E+001  -1.978816E+000
       1       7    13.333333    17.543860   2.313115E-009   8.466639E+001   7.896938E+001   8.466639E+001  -8.466639E+001  -5.697004E+000  -7.896938E+001
       1       8    11.627907    13.333333   1.918224E-009   4.611109E+001   7.209211E+000   4.611109E+001  -4.611109E+001  -3.890188E+001  -7.209211E+000
       1       9     9.009009    11.627907   3.197997E-009   8.014973E+001   3.714296E+000   8.014973E+001  -8.014973E+001  -7.643544E+001  -3.714296E+000
       1      10     8.695652     9.009009   1.383977E-010   9.610818E+000   1.119295E-004   9.610818E+000  -9.610818E+000  -9.610706E+000  -1.119294E-004
       1      11     8.333333     8.695652  -5.861995E-010   1.087567E+001   3.308438E-005   1.087567E+001  -1.087567E+001  -1.087564E+001  -3.308496E-005
       1      12     7.633588     8.333333  -4.035208E-010   1.987768E+001   5.982061E-002   1.987768E+001  -1.987768E+001  -1.981786E+001  -5.982061E-002
       1      13     7.042254     7.633588  -6.019043E-010   1.508527E+001   5.166786E-002   1.508527E+001  -1.508527E+001  -1.503360E+001  -5.166786E-002
       1      14     6.451613     7.042254  -2.236202E-010   1.292597E+001   1.578085E-004   1.292597E+001  -1.292597E+001  -1.292582E+001  -1.578088E-004
       1      15     5.464481     6.451613   1.075726E-009   1.568115E+001   4.149941E-005   1.568115E+001  -1.568115E+001  -1.568111E+001  -4.149834E-005
       1      16     4.950495     5.464481   2.562821E-010   5.034998E+000   1.249103E-001   5.034998E+000  -5.034998E+000  -4.910088E+000  -1.249103E-001
       1      17     3.333333     4.950495  -1.457758E-010   5.359434E+000   1.600609E+000   5.359434E+000  -5.359434E+000  -3.758825E+000  -1.600609E+000
     101       1    40.000000 10000.000000   1.233573E-009   2.513981E+001   2.029077E-004   2.513981E+001  -2.513981E+001  -2.513961E+001  -2.018677E-004
     101       2    29.411765    40.000000  -8.439898E-010   2.752220E+001   1.854174E-004   2.752221E+001  -2.752220E+001  -2.752202E+001  -1.835973E-004
     101       3    25.000000    29.411765   9.520562E-011   2.305543E+001   1.658102E-004   2.305543E+001  -2.305543E+001  -2.305527E+001  -1.650097E-004
