# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = sw
# n_profile      = 1
# n_layer        = 60
# n_band         = 42
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
       1       1     0.200000     0.300000   5.582456E-006   2.938599E-006   3.776939E-006   1.133082E-006   2.643857E-006   2.643857E-006  -4.911299E-015
       1       2     0.300000     0.345000   2.557270E-003   1.160959E-003   1.994730E-003   5.984189E-004   1.396311E-003   1.396311E-003   9.565853E-013
       1       3     0.345000     0.385000   2.512764E-003   1.006153E-003   2.152302E-003   6.456906E-004   1.506611E-003   1.506611E-003  -5.730525E-013
       1       4     0.385000     0.420000   1.293223E-002   4.781073E-003   1.164451E-002   3.493352E-003   8.151155E-003   8.151155E-003   2.336780E-012
       1       5     0.420000     0.450000   2.349464E-002   8.255229E-003   2.177059E-002   6.531176E-003   1.523941E-002   1.523941E-002  -5.401755E-012
       1       6     0.450000     0.500000   1.310848E-001   4.421893E-002   1.240940E-001   3.722821E-002   8.686582E-002   8.686582E-002   7.881515E-012
       1       7     0.500000     0.550000   1.748537E-001   5.680007E-002   1.686481E-001   5.059442E-002   1.180536E-001   1.180536E-001   3.284983E-011
       1       8     0.550000     0.610000   2.295775E-001   7.279690E-002   2.239723E-001   6.719170E-002   1.567806E-001   1.567806E-001  -3.789868E-011
       1       9     0.610000     0.690000   5.693172E-001   1.769141E-001   5.605758E-001   1.681727E-001   3.924031E-001   3.924031E-001   4.683126E-011
       1      10     0.690000     0.780000   2.472789E+000   7.577010E-001   2.450126E+000   7.350378E-001   1.715088E+000   1.715088E+000  -5.962697E-011
       1      11     0.780000     0.800000   1.063069E+000   3.241398E-001   1.055609E+000   3.166826E-001   7.389296E-001   7.389261E-001   3.490696E-006
       1      12     0.800000     0.870000   5.878988E+000   1.787489E+000   5.844998E+000   1.753499E+000   4.091499E+000   4.091499E+000   5.450162E-007
       1      13     0.870000     0.880000   8.736691E-001   2.649440E-001   8.695958E-001   2.608787E-001   6.087251E-001   6.087170E-001   8.046435E-006
       1      14     0.880000     1.030000   2.249240E+001   6.799491E+000   2.241845E+001   6.725534E+000   1.569291E+001   1.569291E+001   3.415275E-007
       1      15     1.030000     1.080000   9.248799E+000   2.788380E+000   9.227949E+000   2.768385E+000   6.460419E+000   6.459564E+000   8.551719E-004
       1      16     1.080000     1.140000   1.173685E+001   3.535822E+000   1.171566E+001   3.514698E+000   8.201028E+000   8.200963E+000   6.538556E-005
       1      17     1.140000     1.200000   1.143670E+001   3.442659E+000   1.142004E+001   3.426011E+000   7.994038E+000   7.994027E+000   1.102861E-005
       1      18     1.200000     1.240000   8.097833E+000   2.419592E+000   8.068623E+000   2.420587E+000   5.678241E+000   5.648036E+000   3.020504E-002
       1      19     1.240000     1.280000   7.733813E+000   2.325858E+000   7.725338E+000   2.317601E+000   5.407955E+000   5.407737E+000   2.184836E-004
       1      20     1.280000     1.340000   1.109154E+001   3.331769E+000   1.107803E+001   3.323408E+000   7.759774E+000   7.754618E+000   5.156462E-003
       1      21     1.340000     1.420000   1.012492E+001   3.042416E+000   1.011685E+001   3.035054E+000   7.082505E+000   7.081793E+000   7.116320E-004
       1      22     1.420000     1.460000   4.444646E+000   1.226780E+000   4.293422E+000   1.288026E+000   3.217866E+000   3.005395E+000   2.124710E-001
       1      23     1.460000     1.490000   3.316959E+000   9.941653E-001   3.312540E+000   9.937620E-001   2.322794E+000   2.318778E+000   4.015622E-003
       1      24     1.490000     1.520000   3.416012E+000   1.025582E+000   3.413664E+000   1.024099E+000   2.390429E+000   2.389565E+000   8.648138E-004
       1      25     1.520000     1.680000   2.089115E+001   6.132860E+000   2.069646E+001   6.208939E+000   1.475829E+001   1.448752E+001   2.707642E-001
       1      26     1.680000     1.740000   7.400301E+000   2.221594E+000   7.397783E+000   2.219335E+000   5.178707E+000   5.178448E+000   2.589046E-004
       1      27     1.740000     1.820000   6.859941E+000   2.059088E+000   6.857852E+000   2.057356E+000   4.800854E+000   4.800497E+000   3.570267E-004
       1      28     1.820000     1.940000   7.844991E+000   2.346029E+000   7.833558E+000   2.350067E+000   5.498962E+000   5.483490E+000   1.547217E-002
       1      29     1.940000     2.200000   1.524385E+001   3.491460E+000   1.312349E+001   3.937047E+000   1.175239E+001   9.186443E+000   2.565947E+000
       1      30     2.200000     2.300000   5.897529E+000   1.769618E+000   5.896817E+000   1.769045E+000   4.127911E+000   4.127772E+000   1.390981E-004
       1      31     2.300000     2.450000   6.412228E+000   1.924051E+000   6.411671E+000   1.923501E+000   4.488177E+000   4.488170E+000   7.288820E-006
       1      32     2.450000     2.550000   2.808749E+000   8.421307E-001   2.807851E+000   8.423554E-001   1.966619E+000   1.965496E+000   1.122638E-003
       1      33     2.550000     2.650000   2.466453E+000   7.323517E-001   2.457643E+000   7.372930E-001   1.734102E+000   1.720350E+000   1.375131E-002
       1      34     2.650000     2.900000   5.107089E+000   3.283970E-001   1.523408E+000   4.570224E-001   4.778692E+000   1.066386E+000   3.712307E+000
       1      35     2.900000     3.200000   4.829501E+000   1.438390E+000   4.817335E+000   1.445200E+000   3.391111E+000   3.372134E+000   1.897705E-002
       1      36     3.200000     3.500000   4.479548E+000   1.343893E+000   4.479408E+000   1.343822E+000   3.135654E+000   3.135585E+000   6.911200E-005
       1      37     3.500000     3.900000   5.317470E+000   1.592415E+000   5.314171E+000   1.594251E+000   3.725055E+000   3.719920E+000   5.135502E-003
       1      38     3.900000     5.500000   8.889375E+000   1.747198E+000   6.334568E+000   1.900370E+000   7.142178E+000   4.434197E+000   2.707980E+000
       1      39     5.500000     6.500000   2.171822E+000   6.515434E-001   2.171810E+000   6.515429E-001   1.520278E+000   1.520267E+000   1.132168E-005
       1      40     6.500000     7.000000   6.459457E-001   1.937830E-001   6.459434E-001   1.937830E-001   4.521628E-001   4.521604E-001   2.421260E-006
       1      41     7.000000     9.000000   1.525571E+000   4.557188E-001   1.523389E+000   4.570168E-001   1.069852E+000   1.066372E+000   3.479723E-003
       1      42     9.000000    20.000000   1.633159E+000   3.562931E-001   1.277197E+000   3.831591E-001   1.276866E+000   8.940379E-001   3.828279E-001
     101       1     0.200000     0.300000   5.582456E-006   2.938599E-006   3.776939E-006   1.133082E-006   2.643857E-006   2.643857E-006  -4.911299E-015
     101       2     0.300000     0.345000   2.557270E-003   1.160959E-003   1.994730E-003   5.984189E-004   1.396311E-003   1.396311E-003   9.565853E-013
     101       3     0.345000     0.385000   2.512764E-003   1.006153E-003   2.152302E-003   6.456906E-004   1.506611E-003   1.506611E-003  -5.730525E-013
     101       4     0.385000     0.420000   1.293223E-002   4.781073E-003   1.164451E-002   3.493352E-003   8.151155E-003   8.151155E-003   4.769834E-012
     101       5     0.420000     0.450000   2.349464E-002   8.255229E-003   2.177059E-002   6.531176E-003   1.523941E-002   1.523941E-002  -8.030028E-012
     101       6     0.450000     0.500000   1.310848E-001   4.421893E-002   1.240940E-001   3.722821E-002   8.686582E-002   8.686582E-002   1.683055E-011
     101       7     0.500000     0.550000   1.748537E-001   5.680007E-002   1.686481E-001   5.059442E-002   1.180536E-001   1.180536E-001  -1.276018E-011
     101       8     0.550000     0.610000   2.295775E-001   7.279690E-002   2.239723E-001   6.719170E-002   1.567806E-001   1.567806E-001  -2.567965E-011
     101       9     0.610000     0.690000   5.693172E-001   1.769141E-001   5.605758E-001   1.681727E-001   3.924031E-001   3.924031E-001   9.540213E-011
     101      10     0.690000     0.780000   2.472789E+000   7.577010E-001   2.450126E+000   7.350378E-001   1.715088E+000   1.715088E+000   2.860570E-010
     101      11     0.780000     0.800000   1.063069E+000   3.241398E-001   1.055609E+000   3.166826E-001   7.389296E-001   7.389261E-001   3.488814E-006
     101      12     0.800000     0.870000   5.878988E+000   1.787489E+000   5.844998E+000   1.753499E+000   4.091499E+000   4.091499E+000   5.458765E-007
     101      13     0.870000     0.880000   8.736691E-001   2.649440E-001   8.695958E-001   2.608787E-001   6.087251E-001   6.087170E-001   8.027776E-006
     101      14     0.880000     1.030000   2.249240E+001   6.799491E+000   2.241845E+001   6.725534E+000   1.569291E+001   1.569291E+001   3.383105E-007
     101      15     1.030000     1.080000   9.248799E+000   2.788380E+000   9.227949E+000   2.768385E+000   6.460419E+000   6.459564E+000   8.549984E-004
     101      16     1.080000     1.140000   1.173685E+001   3.535822E+000   1.171566E+001   3.514698E+000   8.201028E+000   8.200963E+000   6.534175E-005
     101      17     1.140000     1.200000   1.143670E+001   3.442659E+000   1.142004E+001   3.426011E+000   7.994038E+000   7.994027E+000   1.097948E-005
     101      18     1.200000     1.240000   8.097833E+000   2.419598E+000   8.068627E+000   2.420588E+000   5.678234E+000   5.648039E+000   3.019549E-002
     101      19     1.240000     1.280000   7.733813E+000   2.325859E+000   7.725339E+000   2.317602E+000   5.407954E+000   5.407737E+000   2.168607E-004
     101      20     1.280000     1.340000   1.109154E+001   3.331768E+000   1.107802E+001   3.323407E+000   7.759775E+000   7.754617E+000   5.157103E-003
     101      21     1.340000     1.420000   1.012492E+001   3.042417E+000   1.011685E+001   3.035055E+000   7.082504E+000   7.081794E+000   7.094821E-004
     101      22     1.420000     1.460000   4.444646E+000   1.226913E+000   4.293591E+000   1.288077E+000   3.217733E+000   3.005514E+000   2.122193E-001
     101      23     1.460000     1.490000   3.316959E+000   9.941682E-001   3.312543E+000   9.937629E-001   2.322791E+000   2.318780E+000   4.010518E-003
     101      24     1.490000     1.520000   3.416012E+000   1.025584E+000   3.413666E+000   1.024100E+000   2.390427E+000   2.389566E+000   8.608625E-004
     101      25     1.520000     1.680000   2.089115E+001   6.133059E+000   2.069664E+001   6.208992E+000   1.475809E+001   1.448765E+001   2.704412E-001
     101      26     1.680000     1.740000   7.400301E+000   2.221595E+000   7.397785E+000   2.219335E+000   5.178706E+000   5.178449E+000   2.567929E-004
     101      27     1.740000     1.820000   6.859941E+000   2.059096E+000   6.857862E+000   2.057358E+000   4.800845E+000   4.800503E+000   3.423881E-004
