# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = lw
# n_profile      = 1
# n_layer        = 60
# n_band         = 17
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
   30001       1    40.000000 10000.000000   1.413547E-009   2.523546E+001   1.799098E+001   2.523546E+001  -2.523546E+001  -7.244479E+000  -1.799098E+001
   30001       2    29.411765    40.000000  -1.002416E-009   2.765283E+001   4.870381E-002   2.765283E+001  -2.765283E+001  -2.760413E+001  -4.870381E-002
   30001       3    25.000000    29.411765   1.159073E-010   2.318048E+001   3.161465E-001   2.318048E+001  -2.318048E+001  -2.286434E+001  -3.161465E-001
   30001       4    20.833333    25.000000   4.658318E-010   3.507765E+001   6.758033E+000   3.507765E+001  -3.507765E+001  -2.831961E+001  -6.758033E+000
   30001       5    19.230769    20.833333  -4.991954E-010   1.869638E+001   1.741422E+001   1.869638E+001  -1.869638E+001  -1.282160E+000  -1.741422E+001
   30001       6    17.543860    19.230769   7.414513E-011   2.391694E+001   2.391694E+001   2.391694E+001  -2.391694E+001  -8.445653E-010  -2.391694E+001
   30001       7    13.333333    17.543860   2.313115E-009   8.466639E+001   8.466639E+001   8.466639E+001  -8.466639E+001   0.000000E+000  -8.466639E+001
   30001       8    11.627907    13.333333   1.918224E-009   4.611109E+001   4.600536E+001   4.611109E+001  -4.611109E+001  -1.057306E-001  -4.600536E+001
   30001       9     9.009009    11.627907   3.197997E-009   8.014973E+001   7.813288E+001   8.014973E+001  -8.014973E+001  -2.016849E+000  -7.813288E+001
   30001      10     8.695652     9.009009   1.383977E-010   9.610818E+000   2.735449E-001   9.610818E+000  -9.610818E+000  -9.337273E+000  -2.735449E-001
   30001      11     8.333333     8.695652  -5.861995E-010   1.087567E+001   1.341831E+000   1.087567E+001  -1.087567E+001  -9.533842E+000  -1.341831E+000
   30001      12     7.633588     8.333333  -4.035208E-010   1.987768E+001   1.888299E+001   1.987768E+001  -1.987768E+001  -9.946895E-001  -1.888299E+001
   30001      13     7.042254     7.633588  -6.019043E-010   1.508527E+001   1.507445E+001   1.508527E+001  -1.508527E+001  -1.082323E-002  -1.507445E+001
   30001      14     6.451613     7.042254  -2.236202E-010   1.292597E+001   7.537743E+000   1.292597E+001  -1.292597E+001  -5.388232E+000  -7.537743E+000
   30001      15     5.464481     6.451613   1.075726E-009   1.568115E+001   4.837743E-002   1.568115E+001  -1.568115E+001  -1.563278E+001  -4.837742E-002
   30001      16     4.950495     5.464481   2.562821E-010   5.034998E+000   4.700533E+000   5.034998E+000  -5.034998E+000  -3.344653E-001  -4.700533E+000
   30001      17     3.333333     4.950495  -1.457758E-010   5.359434E+000   5.157210E+000   5.359434E+000  -5.359434E+000  -2.022242E-001  -5.157210E+000
   30101       1    40.000000 10000.000000   7.181207E-010   2.482827E+001   1.791608E+001   2.522539E+001  -2.482827E+001  -7.309304E+000  -1.751896E+001
   30101       2    29.411765    40.000000  -4.134098E-010   2.763837E+001   4.832187E-002   2.763908E+001  -2.763837E+001  -2.759076E+001  -4.761498E-002
   30101       3    25.000000    29.411765   4.140865E-011   2.316191E+001   3.101032E-001   2.316731E+001  -2.316191E+001  -2.285721E+001  -3.047013E-001
   30101       4    20.833333    25.000000   1.440359E-010   3.487234E+001   6.464828E+000   3.505528E+001  -3.487234E+001  -2.859045E+001  -6.281891E+000
   30101       5    19.230769    20.833333  -1.357439E-010   1.767675E+001   1.705161E+001   1.868331E+001  -1.767675E+001  -1.631704E+000  -1.604504E+001
   30101       6    17.543860    19.230769   1.826361E-011   1.970417E+001   2.384773E+001   2.389916E+001  -1.970417E+001  -5.142877E-002  -1.965274E+001
   30101       7    13.333333    17.543860   4.424479E-010   2.884749E+001   8.458333E+001   8.459261E+001  -2.884749E+001  -9.277964E-003  -2.883821E+001
   30101       8    11.627907    13.333333   2.598757E-010   3.527404E+001   4.572874E+001   4.606326E+001  -3.527404E+001  -3.345217E-001  -3.493952E+001
   30101       9     9.009009    11.627907   2.897576E-010   6.561050E+001   7.718262E+001   8.005061E+001  -6.561050E+001  -2.867986E+000  -6.274251E+001
   30101      10     8.695652     9.009009   8.494649E-012   9.586301E+000   2.507224E-001   9.597179E+000  -9.586301E+000  -9.346457E+000  -2.398441E-001
   30101      11     8.333333     8.695652  -3.225542E-011   1.080214E+001   1.273494E+000   1.085969E+001  -1.080214E+001  -9.586194E+000  -1.215943E+000
   30101      12     7.633588     8.333333  -1.837730E-011   1.678145E+001   1.846278E+001   1.984655E+001  -1.678145E+001  -1.383771E+000  -1.539768E+001
   30101      13     7.042254     7.633588  -2.093059E-011   1.214520E+001   1.486765E+001   1.505968E+001  -1.214520E+001  -1.920361E-001  -1.195316E+001
   30101      14     6.451613     7.042254  -5.813905E-012   1.230659E+001   7.294850E+000   1.290226E+001  -1.230659E+001  -5.607409E+000  -6.699185E+000
   30101      15     5.464481     6.451613   1.779488E-011   1.564465E+001   4.146750E-002   1.564888E+001  -1.564465E+001  -1.560741E+001  -3.723358E-002
   30101      16     4.950495     5.464481   2.296906E-012   3.623707E+000   4.588525E+000   5.023200E+000  -3.623707E+000  -4.346752E-001  -3.189032E+000
   30101      17     3.333333     4.950495  -6.059320E-013   2.197555E+000   5.107882E+000   5.344704E+000  -2.197555E+000  -2.368220E-001  -1.960733E+000
   30201       1    40.000000 10000.000000   6.575664E-010   2.444149E+001   1.783454E+001   2.521407E+001  -2.444149E+001  -7.379528E+000  -1.706196E+001
   30201       2    29.411765    40.000000  -3.663185E-010   2.762219E+001   4.792564E-002   2.762362E+001  -2.762219E+001  -2.757569E+001  -4.649623E-002
   30201       3    25.000000    29.411765   3.587264E-011   2.314188E+001   3.046429E-001   2.315252E+001  -2.314188E+001  -2.284787E+001  -2.940089E-001
   30201       4    20.833333    25.000000   1.220091E-010   3.471539E+001   6.209189E+000   3.503014E+001  -3.471539E+001  -2.882095E+001  -5.894439E+000
   30201       5    19.230769    20.833333  -1.127054E-010   1.707312E+001   1.669544E+001   1.866863E+001  -1.707312E+001  -1.973183E+000  -1.509994E+001
   30201       6    17.543860    19.230769   1.493206E-011   1.792526E+001   2.376743E+001   2.387917E+001  -1.792526E+001  -1.117416E-001  -1.781352E+001
   30201       7    13.333333    17.543860   3.484768E-010   2.299612E+001   8.449039E+001   8.450969E+001  -2.299612E+001  -1.929090E-002  -2.297683E+001
   30201       8    11.627907    13.333333   1.941300E-010   3.130434E+001   4.541070E+001   4.600950E+001  -3.130434E+001  -5.988055E-001  -3.070553E+001
   30201       9     9.009009    11.627907   2.042206E-010   5.888354E+001   7.613175E+001   7.993921E+001  -5.888354E+001  -3.807451E+000  -5.507609E+001
   30201      10     8.695652     9.009009   5.636547E-012   9.562489E+000   2.306823E-001   9.581850E+000  -9.562489E+000  -9.351168E+000  -2.113214E-001
   30201      11     8.333333     8.695652  -2.105821E-011   1.073209E+001   1.208886E+000   1.084172E+001  -1.073209E+001  -9.632838E+000  -1.099256E+000
   30201      12     7.633588     8.333333  -1.167222E-011   1.482080E+001   1.806215E+001   1.981156E+001  -1.482080E+001  -1.749413E+000  -1.307139E+001
   30201      13     7.042254     7.633588  -1.277445E-011   1.033726E+001   1.462968E+001   1.503092E+001  -1.033726E+001  -4.012420E-001  -9.936016E+000
   30201      14     6.451613     7.042254  -3.399836E-012   1.175578E+001   7.048302E+000   1.287561E+001  -1.175578E+001  -5.827305E+000  -5.928471E+000
   30201      15     5.464481     6.451613   9.757667E-012   1.560566E+001   3.651383E-002   1.561261E+001  -1.560566E+001  -1.557609E+001  -2.956861E-002
   30201      16     4.950495     5.464481   1.148845E-012   2.991875E+000   4.497955E+000   5.009940E+000  -2.991875E+000  -5.119845E-001  -2.479891E+000
   30201      17     3.333333     4.950495  -2.744558E-013   1.563207E+000   5.051474E+000   5.328148E+000  -1.563207E+000  -2.766747E-001  -1.286532E+000
   30301       1    40.000000 10000.000000   6.376109E-010   2.408805E+001   1.774960E+001   2.520154E+001  -2.408805E+001  -7.451938E+000  -1.663611E+001
   30301       2    29.411765    40.000000  -3.510241E-010   2.760437E+001   4.753404E-002   2.760651E+001  -2.760437E+001  -2.755897E+001  -4.539621E-002
