# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = sw
# n_profile      = 1
# n_layer        = 60
# n_band         = 42
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
   30001       1     0.200000     0.300000   5.582456E-006   3.540013E-006   2.917776E-006   8.753329E-007   2.042443E-006   2.042443E-006  -9.500342E-015
   30001       2     0.300000     0.345000   2.557270E-003   1.374824E-003   1.689209E-003   5.067628E-004   1.182447E-003   1.182447E-003  -8.478979E-013
   30001       3     0.345000     0.385000   2.512764E-003   1.152240E-003   1.943607E-003   5.830820E-004   1.360525E-003   1.360525E-003   3.397626E-012
   30001       4     0.385000     0.420000   1.293223E-002   5.311610E-003   1.088660E-002   3.265979E-003   7.620618E-003   7.620618E-003   9.457400E-013
   30001       5     0.420000     0.450000   2.349464E-002   8.965829E-003   2.075544E-002   6.226633E-003   1.452881E-002   1.452881E-002  -5.487135E-012
   30001       6     0.450000     0.500000   1.310848E-001   4.710132E-002   1.199763E-001   3.599290E-002   8.398344E-002   8.398344E-002   9.747300E-012
   30001       7     0.500000     0.550000   1.748537E-001   5.938044E-002   1.649618E-001   4.948854E-002   1.154733E-001   1.154733E-001   2.706707E-011
   30001       8     0.550000     0.610000   2.295775E-001   7.513671E-002   2.206297E-001   6.618892E-002   1.544408E-001   1.544408E-001  -3.296219E-011
   30001       9     0.610000     0.690000   5.693172E-001   1.805662E-001   5.553585E-001   1.666076E-001   3.887510E-001   3.887510E-001   5.750500E-011
   30001      10     0.690000     0.780000   2.472789E+000   7.671523E-001   2.436624E+000   7.309872E-001   1.705637E+000   1.705637E+000  -9.971224E-011
   30001      11     0.780000     0.800000   1.063069E+000   3.228705E-001   1.046017E+000   3.138050E-001   7.401989E-001   7.322116E-001   7.987280E-003
   30001      12     0.800000     0.870000   5.878988E+000   1.800859E+000   5.823951E+000   1.747185E+000   4.078130E+000   4.076766E+000   1.364003E-003
   30001      13     0.870000     0.880000   8.736691E-001   2.591255E-001   8.566846E-001   2.570054E-001   6.145436E-001   5.996792E-001   1.486437E-002
   30001      14     0.880000     1.030000   2.249240E+001   6.829629E+000   2.237424E+001   6.712272E+000   1.566278E+001   1.566197E+001   8.082678E-004
   30001      15     1.030000     1.080000   9.248799E+000   2.402097E+000   8.547920E+000   2.564376E+000   6.846702E+000   5.983544E+000   8.631580E-001
   30001      16     1.080000     1.140000   1.173685E+001   3.466986E+000   1.161091E+001   3.483273E+000   8.269864E+000   8.127636E+000   1.422285E-001
   30001      17     1.140000     1.200000   1.143670E+001   3.434213E+000   1.139318E+001   3.417953E+000   8.002484E+000   7.975224E+000   2.725977E-002
   30001      18     1.200000     1.240000   8.097833E+000   6.815633E-001   3.785453E+000   1.135636E+000   7.416269E+000   2.649817E+000   4.766452E+000
   30001      19     1.240000     1.280000   7.733813E+000   2.105272E+000   7.423490E+000   2.227047E+000   5.628541E+000   5.196443E+000   4.320980E-001
   30001      20     1.280000     1.340000   1.109154E+001   2.023806E+000   8.804524E+000   2.641357E+000   9.067737E+000   6.163167E+000   2.904569E+000
   30001      21     1.340000     1.420000   1.012492E+001   2.682535E+000   9.594781E+000   2.878434E+000   7.442386E+000   6.716347E+000   7.260396E-001
   30001      22     1.420000     1.460000   4.444646E+000   2.286157E-001   1.311281E+000   3.933844E-001   4.216030E+000   9.178970E-001   3.298133E+000
   30001      23     1.460000     1.490000   3.316959E+000   3.875556E-001   2.128882E+000   6.386646E-001   2.929403E+000   1.490217E+000   1.439186E+000
   30001      24     1.490000     1.520000   3.416012E+000   6.680838E-001   2.829037E+000   8.487112E-001   2.747928E+000   1.980326E+000   7.676017E-001
   30001      25     1.520000     1.680000   2.089115E+001   1.082157E+000   6.765611E+000   2.029683E+000   1.980899E+001   4.735928E+000   1.507306E+001
   30001      26     1.680000     1.740000   7.400301E+000   1.926616E+000   7.034228E+000   2.110268E+000   5.473685E+000   4.923960E+000   5.497257E-001
   30001      27     1.740000     1.820000   6.859941E+000   1.749868E+000   6.443727E+000   1.933118E+000   5.110073E+000   4.510609E+000   5.994640E-001
   30001      28     1.820000     1.940000   7.844991E+000   1.102169E+000   5.164822E+000   1.549447E+000   6.742822E+000   3.615376E+000   3.127447E+000
   30001      29     1.940000     2.200000   1.524385E+001   3.426869E-001   2.201342E+000   6.604025E-001   1.490116E+001   1.540939E+000   1.336022E+001
   30001      30     2.200000     2.300000   5.897529E+000   1.605626E+000   5.699233E+000   1.709770E+000   4.291902E+000   3.989463E+000   3.024393E-001
   30001      31     2.300000     2.450000   6.412228E+000   1.914062E+000   6.399994E+000   1.919998E+000   4.498166E+000   4.479996E+000   1.817061E-002
   30001      32     2.450000     2.550000   2.808749E+000   4.663936E-001   2.180437E+000   6.541312E-001   2.342356E+000   1.526306E+000   8.160495E-001
   30001      33     2.550000     2.650000   2.466453E+000   1.168988E-001   8.290046E-001   2.487014E-001   2.349555E+000   5.803032E-001   1.769251E+000
   30001      34     2.650000     2.900000   5.107089E+000   7.426792E-006   1.138005E-006   3.414014E-007   5.107082E+000   7.966033E-007   5.107081E+000
   30001      35     2.900000     3.200000   4.829501E+000   2.586736E-001   2.068859E+000   6.206577E-001   4.570827E+000   1.448201E+000   3.122626E+000
   30001      36     3.200000     3.500000   4.479548E+000   1.268111E+000   4.386723E+000   1.316017E+000   3.211437E+000   3.070706E+000   1.407311E-001
   30001      37     3.500000     3.900000   5.317470E+000   7.351674E-001   3.343805E+000   1.003141E+000   4.582303E+000   2.340663E+000   2.241640E+000
   30001      38     3.900000     5.500000   8.889375E+000   3.963682E-002   3.641309E-001   1.092393E-001   8.849738E+000   2.548916E-001   8.594847E+000
   30001      39     5.500000     6.500000   2.171822E+000   6.362584E-001   2.154317E+000   6.462950E-001   1.535563E+000   1.508022E+000   2.754159E-002
   30001      40     6.500000     7.000000   6.459457E-001   5.159248E-002   3.905481E-001   1.171644E-001   5.943533E-001   2.733837E-001   3.209696E-001
   30001      41     7.000000     9.000000   1.525571E+000   2.296613E-002   2.558758E-001   7.676274E-002   1.502605E+000   1.791131E-001   1.323492E+000
   30001      42     9.000000    20.000000   1.633159E+000   5.560571E-003   7.392774E-002   2.217832E-002   1.627598E+000   5.174942E-002   1.575849E+000
   30101       1     0.200000     0.300000   5.582456E-006   3.540013E-006   2.917776E-006   8.753329E-007   2.042443E-006   2.042443E-006  -9.500342E-015
   30101       2     0.300000     0.345000   2.557270E-003   1.374824E-003   1.689209E-003   5.067628E-004   1.182447E-003   1.182447E-003  -8.478979E-013
   30101       3     0.345000     0.385000   2.512764E-003   1.152240E-003   1.943607E-003   5.830820E-004   1.360525E-003   1.360525E-003   3.397626E-012
   30101       4     0.385000     0.420000   1.293223E-002   5.311610E-003   1.088660E-002   3.265979E-003   7.620618E-003   7.620618E-003   7.016100E-012
   30101       5     0.420000     0.450000   2.349464E-002   8.965829E-003   2.075544E-002   6.226633E-003   1.452881E-002   1.452881E-002  -6.338315E-013
   30101       6     0.450000     0.500000   1.310848E-001   4.710132E-002   1.199763E-001   3.599290E-002   8.398344E-002   8.398344E-002  -4.929168E-012
   30101       7     0.500000     0.550000   1.748537E-001   5.938044E-002   1.649618E-001   4.948854E-002   1.154733E-001   1.154733E-001  -1.091488E-012
   30101       8     0.550000     0.610000   2.295775E-001   7.513671E-002   2.206297E-001   6.618892E-002   1.544408E-001   1.544408E-001  -4.211942E-011
   30101       9     0.610000     0.690000   5.693172E-001   1.805662E-001   5.553585E-001   1.666076E-001   3.887510E-001   3.887510E-001   1.620853E-011
   30101      10     0.690000     0.780000   2.472789E+000   7.671523E-001   2.436624E+000   7.309872E-001   1.705637E+000   1.705637E+000   2.365086E-010
   30101      11     0.780000     0.800000   1.063069E+000   3.228826E-001   1.046028E+000   3.138083E-001   7.401868E-001   7.322194E-001   7.967344E-003
   30101      12     0.800000     0.870000   5.878988E+000   1.800856E+000   5.823948E+000   1.747184E+000   4.078132E+000   4.076763E+000   1.368812E-003
   30101      13     0.870000     0.880000   8.736691E-001   2.591882E-001   8.567623E-001   2.570287E-001   6.144809E-001   5.997336E-001   1.474724E-002
   30101      14     0.880000     1.030000   2.249240E+001   6.829639E+000   2.237425E+001   6.712275E+000   1.566277E+001   1.566198E+001   7.903332E-004
   30101      15     1.030000     1.080000   9.248799E+000   2.403651E+000   8.550315E+000   2.565095E+000   6.845147E+000   5.985221E+000   8.599267E-001
   30101      16     1.080000     1.140000   1.173685E+001   3.467307E+000   1.161122E+001   3.483365E+000   8.269543E+000   8.127852E+000   1.416915E-001
   30101      17     1.140000     1.200000   1.143670E+001   3.434365E+000   1.139335E+001   3.418005E+000   8.002331E+000   7.975344E+000   2.698715E-002
   30101      18     1.200000     1.240000   8.097833E+000   6.876023E-001   3.802926E+000   1.140878E+000   7.410230E+000   2.662048E+000   4.748182E+000
   30101      19     1.240000     1.280000   7.733813E+000   2.108926E+000   7.428455E+000   2.228536E+000   5.624887E+000   5.199918E+000   4.249691E-001
   30101      20     1.280000     1.340000   1.109154E+001   2.028538E+000   8.812441E+000   2.643732E+000   9.063005E+000   6.168709E+000   2.894296E+000
   30101      21     1.340000     1.420000   1.012492E+001   2.685997E+000   9.599961E+000   2.879988E+000   7.438924E+000   6.719973E+000   7.189510E-001
   30101      22     1.420000     1.460000   4.444646E+000   2.302467E-001   1.321909E+000   3.965726E-001   4.214399E+000   9.253360E-001   3.289063E+000
   30101      23     1.460000     1.490000   3.316959E+000   3.930073E-001   2.140137E+000   6.420412E-001   2.923952E+000   1.498096E+000   1.425856E+000
   30101      24     1.490000     1.520000   3.416012E+000   6.727932E-001   2.837206E+000   8.511617E-001   2.743218E+000   1.986044E+000   7.571743E-001
   30101      25     1.520000     1.680000   2.089115E+001   1.099180E+000   6.828389E+000   2.048517E+000   1.979197E+001   4.779872E+000   1.501210E+001
   30101      26     1.680000     1.740000   7.400301E+000   1.931759E+000   7.040773E+000   2.112232E+000   5.468542E+000   4.928541E+000   5.400012E-001
   30101      27     1.740000     1.820000   6.859941E+000   1.763141E+000   6.465997E+000   1.939799E+000   5.096801E+000   4.526198E+000   5.706029E-001
   30101      28     1.820000     1.940000   7.844991E+000   1.112183E+000   5.195189E+000   1.558557E+000   6.732808E+000   3.636632E+000   3.096176E+000
   30101      29     1.940000     2.200000   1.524385E+001   3.494655E-001   2.228978E+000   6.686935E-001   1.489438E+001   1.560285E+000   1.333410E+001
   30101      30     2.200000     2.300000   5.897529E+000   1.608327E+000   5.702712E+000   1.710814E+000   4.289201E+000   3.991898E+000   2.973031E-001
   30101      31     2.300000     2.450000   6.412228E+000   1.914222E+000   6.400172E+000   1.920052E+000   4.498006E+000   4.480121E+000   1.788569E-002
   30101      32     2.450000     2.550000   2.808749E+000   4.727591E-001   2.194412E+000   6.583236E-001   2.335990E+000   1.536088E+000   7.999017E-001
   30101      33     2.550000     2.650000   2.466453E+000   1.194461E-001   8.384312E-001   2.515293E-001   2.347007E+000   5.869018E-001   1.760105E+000
   30101      34     2.650000     2.900000   5.107089E+000   9.477355E-006   1.842683E-006   5.528049E-007   5.107080E+000   1.289878E-006   5.107078E+000
   30101      35     2.900000     3.200000   4.829501E+000   2.656385E-001   2.097432E+000   6.292295E-001   4.563862E+000   1.468202E+000   3.095660E+000
   30101      36     3.200000     3.500000   4.479548E+000   1.270981E+000   4.390777E+000   1.317233E+000   3.208567E+000   3.073544E+000   1.350227E-001
   30101      37     3.500000     3.900000   5.317470E+000   7.368458E-001   3.346891E+000   1.004067E+000   4.580625E+000   2.342824E+000   2.237801E+000
   30101      38     3.900000     5.500000   8.889375E+000   4.090667E-002   3.700561E-001   1.110168E-001   8.848469E+000   2.590393E-001   8.589429E+000
   30101      39     5.500000     6.500000   2.171822E+000   6.369926E-001   2.155179E+000   6.465538E-001   1.534829E+000   1.508626E+000   2.620339E-002
   30101      40     6.500000     7.000000   6.459457E-001   5.141964E-002   3.898501E-001   1.169550E-001   5.945261E-001   2.728951E-001   3.216310E-001
   30101      41     7.000000     9.000000   1.525571E+000   2.342293E-002   2.554486E-001   7.663459E-002   1.502148E+000   1.788140E-001   1.323334E+000
   30101      42     9.000000    20.000000   1.633159E+000   6.038005E-003   7.965570E-002   2.389671E-002   1.627121E+000   5.575899E-002   1.571362E+000
   30201       1     0.200000     0.300000   5.582456E-006   3.540013E-006   2.917776E-006   8.753329E-007   2.042443E-006   2.042443E-006  -9.500342E-015
   30201       2     0.300000     0.345000   2.557270E-003   1.374824E-003   1.689209E-003   5.067628E-004   1.182447E-003   1.182447E-003  -8.478979E-013
