# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = lw
# n_profile      = 1
# n_layer        = 60
# n_band         = 17
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
   15001       1    40.000000 10000.000000  -8.882850E-011   2.523546E+001   1.402242E+001   2.523546E+001  -2.523546E+001  -1.121303E+001  -1.402242E+001
   15001       2    29.411765    40.000000  -8.638992E-010   2.765283E+001   4.238123E+000   2.765283E+001  -2.765283E+001  -2.341471E+001  -4.238123E+000
   15001       3    25.000000    29.411765  -1.329393E-009   2.318048E+001   1.823111E+000   2.318048E+001  -2.318048E+001  -2.135737E+001  -1.823111E+000
   15001       4    20.833333    25.000000  -2.073456E-009   3.507765E+001   1.415441E+000   3.507765E+001  -3.507765E+001  -3.366221E+001  -1.415441E+000
   15001       5    19.230769    20.833333  -2.618350E-012   1.869638E+001   4.570210E-001   1.869638E+001  -1.869638E+001  -1.823935E+001  -4.570210E-001
   15001       6    17.543860    19.230769  -1.138396E-010   2.391694E+001   2.174309E+000   2.391694E+001  -2.391694E+001  -2.174263E+001  -2.174309E+000
   15001       7    13.333333    17.543860   1.777835E-009   8.466639E+001   8.266120E+001   8.466639E+001  -8.466639E+001  -2.005183E+000  -8.266120E+001
   15001       8    11.627907    13.333333  -5.053806E-010   4.611109E+001   6.920785E+000   4.611109E+001  -4.611109E+001  -3.919030E+001  -6.920785E+000
   15001       9     9.009009    11.627907   1.636664E-009   8.014973E+001   3.413992E+000   8.014973E+001  -8.014973E+001  -7.673574E+001  -3.413992E+000
   15001      10     8.695652     9.009009   3.642491E-010   9.610818E+000   3.336250E-005   9.610818E+000  -9.610818E+000  -9.610785E+000  -3.336214E-005
   15001      11     8.333333     8.695652  -1.139771E-009   1.087567E+001   1.050873E-005   1.087567E+001  -1.087567E+001  -1.087566E+001  -1.050987E-005
   15001      12     7.633588     8.333333  -8.718040E-010   1.987768E+001   1.217065E-005   1.987768E+001  -1.987768E+001  -1.987767E+001  -1.217152E-005
   15001      13     7.042254     7.633588   2.609788E-010   1.508527E+001   1.947353E-005   1.508527E+001  -1.508527E+001  -1.508525E+001  -1.947327E-005
   15001      14     6.451613     7.042254   1.513616E-010   1.292597E+001   2.363809E-005   1.292597E+001  -1.292597E+001  -1.292595E+001  -2.363794E-005
   15001      15     5.464481     6.451613  -1.193333E-009   1.568115E+001   8.294163E-005   1.568115E+001  -1.568115E+001  -1.568107E+001  -8.294282E-005
   15001      16     4.950495     5.464481   3.615117E-010   5.034998E+000   1.317785E-001   5.034998E+000  -5.034998E+000  -4.903220E+000  -1.317785E-001
   15001      17     3.333333     4.950495   1.283595E-010   5.359434E+000   5.126606E+000   5.359434E+000  -5.359434E+000  -2.328276E-001  -5.126606E+000
   15101       1    40.000000 10000.000000  -6.279421E-011   2.507377E+001   1.391756E+001   2.515003E+001  -2.507377E+001  -1.123247E+001  -1.384130E+001
   15101       2    29.411765    40.000000  -5.541523E-010   2.751184E+001   4.181144E+000   2.753616E+001  -2.751184E+001  -2.335502E+001  -4.156826E+000
   15101       3    25.000000    29.411765  -7.975061E-010   2.305697E+001   1.797634E+000   2.306880E+001  -2.305697E+001  -2.127116E+001  -1.785811E+000
   15101       4    20.833333    25.000000  -1.162213E-009   3.487769E+001   1.391225E+000   3.488793E+001  -3.487769E+001  -3.349670E+001  -1.380986E+000
   15101       5    19.230769    20.833333  -1.378453E-012   1.858154E+001   4.434916E-001   1.858556E+001  -1.858154E+001  -1.814206E+001  -4.394743E-001
   15101       6    17.543860    19.230769  -5.736922E-011   2.373283E+001   2.077434E+000   2.376610E+001  -2.373283E+001  -2.168866E+001  -2.044171E+000
   15101       7    13.333333    17.543860   7.936833E-010   5.838087E+001   7.885654E+001   8.404056E+001  -5.838087E+001  -5.184017E+000  -5.319686E+001
   15101       8    11.627907    13.333333  -1.917684E-010   4.552254E+001   6.641336E+000   4.570538E+001  -4.552254E+001  -3.906404E+001  -6.458495E+000
   15101       9     9.009009    11.627907   5.109619E-010   7.922068E+001   3.234542E+000   7.930893E+001  -7.922068E+001  -7.607439E+001  -3.146292E+000
   15101      10     8.695652     9.009009   9.469892E-011   9.495125E+000   3.130408E-005   9.495126E+000  -9.495125E+000  -9.495095E+000  -3.077447E-005
   15101      11     8.333333     8.695652  -2.811542E-010   1.074009E+001   9.737555E-006   1.074009E+001  -1.074009E+001  -1.074008E+001  -9.526680E-006
   15101      12     7.633588     8.333333  -1.962324E-010   1.961362E+001   1.186556E-005   1.961362E+001  -1.961362E+001  -1.961361E+001  -1.161276E-005
