# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = lw
# n_profile      = 1
# n_layer        = 60
# n_band         = 17
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
   45001       1    40.000000 10000.000000  -8.882850E-011   2.523546E+001   1.791312E+001   2.523546E+001  -2.523546E+001  -7.322340E+000  -1.791312E+001
   45001       2    29.411765    40.000000  -8.638992E-010   2.765283E+001   3.214451E+000   2.765283E+001  -2.765283E+001  -2.443838E+001  -3.214451E+000
   45001       3    25.000000    29.411765  -1.329393E-009   2.318048E+001   7.328564E-001   2.318048E+001  -2.318048E+001  -2.244763E+001  -7.328564E-001
   45001       4    20.833333    25.000000  -2.073456E-009   3.507765E+001   6.831601E+000   3.507765E+001  -3.507765E+001  -2.824605E+001  -6.831601E+000
   45001       5    19.230769    20.833333  -2.618350E-012   1.869638E+001   1.595500E+001   1.869638E+001  -1.869638E+001  -2.741372E+000  -1.595500E+001
   45001       6    17.543860    19.230769  -1.138396E-010   2.391694E+001   2.391688E+001   2.391694E+001  -2.391694E+001  -6.202659E-005  -2.391688E+001
   45001       7    13.333333    17.543860   1.777835E-009   8.466639E+001   8.466639E+001   8.466639E+001  -8.466639E+001   0.000000E+000  -8.466639E+001
   45001       8    11.627907    13.333333  -5.053806E-010   4.611109E+001   4.609273E+001   4.611109E+001  -4.611109E+001  -1.835591E-002  -4.609273E+001
   45001       9     9.009009    11.627907   1.636664E-009   8.014973E+001   7.690425E+001   8.014973E+001  -8.014973E+001  -3.245482E+000  -7.690425E+001
   45001      10     8.695652     9.009009   3.642491E-010   9.610818E+000   3.064349E-001   9.610818E+000  -9.610818E+000  -9.304383E+000  -3.064349E-001
   45001      11     8.333333     8.695652  -1.139771E-009   1.087567E+001   1.000792E+000   1.087567E+001  -1.087567E+001  -9.874880E+000  -1.000792E+000
   45001      12     7.633588     8.333333  -8.718040E-010   1.987768E+001   1.572122E+001   1.987768E+001  -1.987768E+001  -4.156460E+000  -1.572122E+001
   45001      13     7.042254     7.633588   2.609788E-010   1.508527E+001   1.498960E+001   1.508527E+001  -1.508527E+001  -9.567032E-002  -1.498960E+001
   45001      14     6.451613     7.042254   1.513616E-010   1.292597E+001   7.260536E+000   1.292597E+001  -1.292597E+001  -5.665438E+000  -7.260536E+000
   45001      15     5.464481     6.451613  -1.193333E-009   1.568115E+001   3.419433E-001   1.568115E+001  -1.568115E+001  -1.533921E+001  -3.419433E-001
   45001      16     4.950495     5.464481   3.615117E-010   5.034998E+000   4.360153E+000   5.034998E+000  -5.034998E+000  -6.748451E-001  -4.360153E+000
   45001      17     3.333333     4.950495   1.283595E-010   5.359434E+000   5.359434E+000   5.359434E+000  -5.359434E+000   0.000000E+000  -5.359434E+000
   45101       1    40.000000 10000.000000  -4.531486E-011   2.483320E+001   1.781197E+001   2.522625E+001  -2.483320E+001  -7.414282E+000  -1.741892E+001
   45101       2    29.411765    40.000000  -3.582574E-010   2.758709E+001   3.132326E+000   2.764026E+001  -2.758709E+001  -2.450793E+001  -3.079155E+000
   45101       3    25.000000    29.411765  -4.780709E-010   2.315473E+001   7.075138E-001   2.316844E+001  -2.315473E+001  -2.246093E+001  -6.937955E-001
   45101       4    20.833333    25.000000  -6.459615E-010   3.485402E+001   6.522542E+000   3.505720E+001  -3.485402E+001  -2.853466E+001  -6.319360E+000
   45101       5    19.230769    20.833333  -7.176482E-013   1.776549E+001   1.556582E+001   1.868443E+001  -1.776549E+001  -3.118614E+000  -1.464688E+001
   45101       6    17.543860    19.230769  -2.830092E-011   2.012127E+001   2.370299E+001   2.390069E+001  -2.012127E+001  -1.976935E-001  -1.992358E+001
   45101       7    13.333333    17.543860   3.437428E-010   1.636146E+001   8.452766E+001   8.459894E+001  -1.636146E+001  -7.127222E-002  -1.629019E+001
   45101       8    11.627907    13.333333  -6.937118E-011   3.450589E+001   4.524730E+001   4.606736E+001  -3.450589E+001  -8.200644E-001  -3.368583E+001
   45101       9     9.009009    11.627907   1.506359E-010   6.706930E+001   7.466133E+001   8.005911E+001  -6.706930E+001  -5.397786E+000  -6.167151E+001
   45101      10     8.695652     9.009009   2.277045E-011   9.584466E+000   2.832194E-001   9.598349E+000  -9.584466E+000  -9.315130E+000  -2.693363E-001
   45101      11     8.333333     8.695652  -6.391987E-011   1.081162E+001   9.586034E-001   1.086106E+001  -1.081162E+001  -9.902457E+000  -9.091655E-001
   45101      12     7.633588     8.333333  -4.051426E-011   1.839897E+001   1.543352E+001   1.984922E+001  -1.839897E+001  -4.415698E+000  -1.398327E+001
   45101      13     7.042254     7.633588   9.276357E-012   1.333265E+001   1.459720E+001   1.506188E+001  -1.333265E+001  -4.646786E-001  -1.286797E+001
   45101      14     6.451613     7.042254   4.029777E-012   1.230229E+001   7.003349E+000   1.290429E+001  -1.230229E+001  -5.900945E+000  -6.401348E+000
