# SOCRATES band-resolved flux diagnostic (appended time series)
# source (sw/lw) = sw
# n_profile      = 1
# n_layer        = 60
# n_band         = 42
# Profile 1 only. Level 0 = TOA, level n_layer = surface.
# call_index increments once per logged call to this routine for this source (sw/lw), throttled by SOCRATES_BAND_FLUX_STRIDE (currently every 100 call(s)).
# column_absorption = net_down(TOA) - net_down(surface), i.e. net energy this band deposits in the column.
#call_index  band  wl_short_um  wl_long_um  down_toa  up_toa  down_surf  up_surf  net_toa  net_surf  column_absorption
   45001       1     0.200000     0.300000   5.582456E-006   3.540013E-006   2.917776E-006   8.753329E-007   2.042443E-006   2.042443E-006  -9.500338E-015
   45001       2     0.300000     0.345000   2.557270E-003   1.374824E-003   1.689209E-003   5.067628E-004   1.182447E-003   1.182447E-003  -8.478979E-013
   45001       3     0.345000     0.385000   2.512764E-003   1.152240E-003   1.943607E-003   5.830820E-004   1.360525E-003   1.360525E-003  -2.150463E-012
   45001       4     0.385000     0.420000   1.293223E-002   5.311610E-003   1.088660E-002   3.265979E-003   7.620618E-003   7.620618E-003  -6.818397E-012
   45001       5     0.420000     0.450000   2.349464E-002   8.965829E-003   2.075544E-002   6.226633E-003   1.452881E-002   1.452881E-002  -5.216388E-012
   45001       6     0.450000     0.500000   1.310848E-001   4.710132E-002   1.199763E-001   3.599290E-002   8.398344E-002   8.398344E-002   3.461811E-011
   45001       7     0.500000     0.550000   1.748537E-001   5.938044E-002   1.649618E-001   4.948854E-002   1.154733E-001   1.154733E-001  -1.757450E-011
   45001       8     0.550000     0.610000   2.295775E-001   7.513500E-002   2.206278E-001   6.618833E-002   1.544425E-001   1.544394E-001   3.089472E-006
   45001       9     0.610000     0.690000   5.693172E-001   1.805389E-001   5.553271E-001   1.665981E-001   3.887783E-001   3.887290E-001   4.926168E-005
   45001      10     0.690000     0.780000   2.472789E+000   7.670074E-001   2.436459E+000   7.309377E-001   1.705782E+000   1.705521E+000   2.604546E-004
   45001      11     0.780000     0.800000   1.063069E+000   3.219882E-001   1.044880E+000   3.134641E-001   7.410812E-001   7.314161E-001   9.665088E-003
   45001      12     0.800000     0.870000   5.878988E+000   1.794993E+000   5.815308E+000   1.744592E+000   4.083996E+000   4.070715E+000   1.328055E-002
   45001      13     0.870000     0.880000   8.736691E-001   2.559247E-001   8.533866E-001   2.560160E-001   6.177443E-001   5.973706E-001   2.037374E-002
   45001      14     0.880000     1.030000   2.249240E+001   6.813938E+000   2.235644E+001   6.706933E+000   1.567847E+001   1.564951E+001   2.895576E-002
   45001      15     1.030000     1.080000   9.248799E+000   2.364945E+000   8.568317E+000   2.570495E+000   6.883853E+000   5.997822E+000   8.860312E-001
   45001      16     1.080000     1.140000   1.173685E+001   3.451147E+000   1.159079E+001   3.477236E+000   8.285703E+000   8.113550E+000   1.721529E-001
   45001      17     1.140000     1.200000   1.143670E+001   3.433389E+000   1.139221E+001   3.417662E+000   8.003308E+000   7.974545E+000   2.876284E-002
   45001      18     1.200000     1.240000   8.097833E+000   6.819388E-001   4.135444E+000   1.240633E+000   7.415894E+000   2.894811E+000   4.521083E+000
   45001      19     1.240000     1.280000   7.733813E+000   2.181487E+000   7.542042E+000   2.262613E+000   5.552326E+000   5.279430E+000   2.728968E-001
   45001      20     1.280000     1.340000   1.109154E+001   2.085071E+000   8.893151E+000   2.667945E+000   9.006472E+000   6.225205E+000   2.781266E+000
   45001      21     1.340000     1.420000   1.012492E+001   2.712190E+000   9.627496E+000   2.888249E+000   7.412731E+000   6.739247E+000   6.734839E-001
   45001      22     1.420000     1.460000   4.444646E+000   2.574434E-001   1.409859E+000   4.229577E-001   4.187202E+000   9.869013E-001   3.200301E+000
   45001      23     1.460000     1.490000   3.316959E+000   8.890135E-001   3.179176E+000   9.537527E-001   2.427945E+000   2.225423E+000   2.025224E-001
   45001      24     1.490000     1.520000   3.416012E+000   6.948874E-001   2.864349E+000   8.593048E-001   2.721124E+000   2.005045E+000   7.160796E-001
   45001      25     1.520000     1.680000   2.089115E+001   1.259065E+000   8.207855E+000   2.462357E+000   1.963208E+001   5.745499E+000   1.388658E+001
   45001      26     1.680000     1.740000   7.400301E+000   2.172610E+000   7.340045E+000   2.202013E+000   5.227691E+000   5.138031E+000   8.965974E-002
   45001      27     1.740000     1.820000   6.859941E+000   1.784933E+000   6.471653E+000   1.941496E+000   5.075009E+000   4.530157E+000   5.448517E-001
   45001      28     1.820000     1.940000   7.844991E+000   1.144126E+000   5.273989E+000   1.582197E+000   6.700865E+000   3.691793E+000   3.009072E+000
   45001      29     1.940000     2.200000   1.524385E+001   8.848267E-001   4.380043E+000   1.314013E+000   1.435902E+001   3.066030E+000   1.129299E+001
   45001      30     2.200000     2.300000   5.897529E+000   1.676642E+000   5.783310E+000   1.734993E+000   4.220887E+000   4.048317E+000   1.725694E-001
   45001      31     2.300000     2.450000   6.412228E+000   1.922448E+000   6.409333E+000   1.922800E+000   4.489781E+000   4.486533E+000   3.247354E-003
   45001      32     2.450000     2.550000   2.808749E+000   5.335957E-001   2.284068E+000   6.852204E-001   2.275154E+000   1.598848E+000   6.763060E-001
   45001      33     2.550000     2.650000   2.466453E+000   1.966954E-001   1.043500E+000   3.130499E-001   2.269758E+000   7.304497E-001   1.539308E+000
   45001      34     2.650000     2.900000   5.107089E+000   2.612223E-003   7.791283E-002   2.337385E-002   5.104477E+000   5.453898E-002   5.049938E+000
   45001      35     2.900000     3.200000   4.829501E+000   3.698202E-001   2.443820E+000   7.331460E-001   4.459681E+000   1.710674E+000   2.749007E+000
   45001      36     3.200000     3.500000   4.479548E+000   8.924521E-001   3.879430E+000   1.163829E+000   3.587096E+000   2.715601E+000   8.714950E-001
   45001      37     3.500000     3.900000   5.317470E+000   1.315238E+000   4.974692E+000   1.492408E+000   4.002233E+000   3.482284E+000   5.199484E-001
   45001      38     3.900000     5.500000   8.889375E+000   4.079983E-001   2.029016E+000   6.087049E-001   8.481377E+000   1.420311E+000   7.061066E+000
   45001      39     5.500000     6.500000   2.171822E+000   6.272534E-001   2.144038E+000   6.432113E-001   1.544568E+000   1.500826E+000   4.374178E-002
   45001      40     6.500000     7.000000   6.459457E-001   5.467106E-002   3.974512E-001   1.192354E-001   5.912747E-001   2.782158E-001   3.130588E-001
   45001      41     7.000000     9.000000   1.525571E+000   7.763498E-002   5.257147E-001   1.577144E-001   1.447936E+000   3.680003E-001   1.079936E+000
   45001      42     9.000000    20.000000   1.633159E+000   9.318443E-003   1.324298E-001   3.972894E-002   1.623840E+000   9.270086E-002   1.531140E+000
   45101       1     0.200000     0.300000   5.582456E-006   3.540013E-006   2.917776E-006   8.753329E-007   2.042443E-006   2.042443E-006  -9.500338E-015
   45101       2     0.300000     0.345000   2.557270E-003   1.374824E-003   1.689209E-003   5.067628E-004   1.182447E-003   1.182447E-003  -8.478979E-013
   45101       3     0.345000     0.385000   2.512764E-003   1.152240E-003   1.943607E-003   5.830820E-004   1.360525E-003   1.360525E-003  -8.328585E-013
   45101       4     0.385000     0.420000   1.293223E-002   5.311610E-003   1.088660E-002   3.265979E-003   7.620618E-003   7.620618E-003   6.951063E-013
   45101       5     0.420000     0.450000   2.349464E-002   8.965829E-003   2.075544E-002   6.226633E-003   1.452881E-002   1.452881E-002   9.519132E-012
   45101       6     0.450000     0.500000   1.310848E-001   4.710132E-002   1.199763E-001   3.599290E-002   8.398344E-002   8.398344E-002   3.405461E-011
   45101       7     0.500000     0.550000   1.748537E-001   5.938044E-002   1.649618E-001   4.948854E-002   1.154733E-001   1.154733E-001  -1.666624E-011
